,file_name,Facts,Issues,Ratio_and_Reasoning,Conclusion,Argument_of_Petitioner,Arguments_of_Respondent
10,"New India Assurance Co. Ltd. vs Babubhai Purshottambhai Harijan ... on 24 January, 2006.txt","On 6th February 2004, the claimant boarded a truck (registration number GJ-1-T-4257) while waiting for a bus at Tilakwada. The truck was being driven recklessly, and it lost control near a bus stand in village Naliya, resulting in an accident where the bus turned turtle. The claimant suffered severe injuries, including fractures in his legs, waist, chest, and other parts of the body.

The claimant filed a claim petition seeking compensation of Rs. 1,25,000/- from the opponents, including the New India Assurance Company Limited. Along with the claim petition, he also filed an application under Section 140 of the Motor Vehicles Act, 1988, seeking Rs. 25,000/- as interim compensation.

The New India Assurance Company Limited, in its reply, denied the claims, stating that the claim petition and application under Section 140 were not maintainable. They contested the nature of injuries, the occurrence of the accident, and the claimant's income. They also raised objections about the vehicle's insurance and the fabrication of the accident incident.

The Motor Accident Claims Tribunal awarded an interim compensation of Rs. 25,000/- to the claimant under Section 140, holding the opponents jointly and severally liable to pay the compensation amount.","1. Whether the Claims Tribunal can pass an order for compensation under Section 140 against the insurer without inquiring into the defences put up by the insurer and making it liable for payment of compensation.
2. Whether the compensation awarded under Section 140 is interim or final.","The court examined the provisions of Chapter-X of the Motor Vehicles Act, 1988, which deals with liability without fault in certain cases. Section 140 of the Act provides for compensation in case of death or permanent disablement resulting from an accident arising out of the use of a motor vehicle. The compensation amount under Section 140 is fixed, and the claimant is not required to prove any negligence or fault on the part of the owner or driver of the vehicle.

The court referred to previous decisions and held that Section 140 is a beneficial and ameliorative legislation intended to provide immediate relief to victims of accidents. The compensation awarded under Section 140 is final and not interim. The court emphasized that Section 140 has an overriding effect over other provisions of the Act, and claims under Section 140 are independent of claims under other sections like Section 166.

The court rejected the petitioner's argument that defences put up by the insurer should be considered before awarding compensation under Section 140. It held that the Tribunal can decide the claim under Section 140 independently and expeditiously without requiring the claimant to establish negligence or fault.",The New India Assurance Company Limited contended that the Claims Tribunal should have considered their objections and defences before awarding compensation under Section 140. They argued that the compensation awarded under Section 140 is interim and can be adjusted with the compensation awarded under Section 166.,The claimant argued that Section 140 provides for immediate relief to victims of accidents on a no-fault liability basis. The compensation awarded under Section 140 is final and does not require the claimant to establish negligence or fault on the part of the vehicle owner or driver. They relied on previous court decisions that supported this interpretation.,"The court dismissed the appeal and upheld the award of Rs. 25,000/- as compensation under Section 140 to the claimant. It clarified that the compensation awarded under Section 140 is final and can be claimed by the insurer from the insured. The court emphasized the need for expeditious disposal of claims under Section 140 to provide immediate relief to accident victims."
11,"National Insurance Company Ltd. vs Radhey Shyam & Another on 25 May, 2011.txt","The petitioner is an insurance company involved in a case of third-party liability under the Motor Vehicles Act, 1988. The tribunal ruled that the insurance company must deposit the awarded compensation amount and later recover it from the owner of the vehicle. The petitioner appealed this decision, arguing that such directions were beyond the tribunal's jurisdiction and were based on Article 142 of the Constitution.","1. Whether the tribunal had the authority to direct the insurance company to deposit the compensation amount and recover it from the vehicle owner.
2. Whether the directions given by the tribunal were based on Article 142 of the Constitution of India.","The court examined the provisions of the Motor Vehicles Act, 1988, and the relevant judgments, including National Insurance Co.Ltd. v. Swaran Singh and others, to determine whether the tribunal had the authority to issue the directions. The court found that the directions were in line with the Act and were not based on Article 142 of the Constitution, as argued by the petitioner. They cited precedents that clarified the liability of insurance companies in third-party cases and upheld the tribunal's power to issue such directions for deposit and recovery.","The petitioner, the insurance company, contended that the directions issued by the tribunal were not within its jurisdiction. They argued that the directions were based on Article 142 of the Constitution of India, which does not grant the tribunal the power to issue such orders. The petitioner sought to challenge the tribunal's decision on these grounds.","The respondent, the claimant or the owner of the vehicle involved in the accident, defended the tribunal's decision. They asserted that the tribunal had the authority to issue the directions based on the relevant provisions of the Motor Vehicles Act, 1988. The respondent supported the tribunal's ruling, stating that it was in line with the established principles and interpretations of the law.","The court rejected the petitioner's appeal and upheld the tribunal's decision. They ruled that the directions given to the insurance company to deposit the awarded compensation amount and recover it from the vehicle owner were valid and in line with the provisions of the Motor Vehicles Act, 1988. The court clarified that such directions were not based on Article 142 of the Constitution of India and were within the tribunal's jurisdiction. The insurance company was directed to comply with the tribunal's order, and the appeal was dismissed with no order as to costs."
12,"Nav Neet Kumar And Another vs State Of U.P. Thru' Principal Sec. ... on 27 July, 2012.txt","The District Magistrate issued an order to shift the halting station/parking place of private buses from a congested area to the outskirts of Muzaffarnagar district. The petitioners, who owned the private bus station at Almaspur, challenged this order in a writ petition.","1. Whether the District Magistrate had the jurisdiction to shift the bus stand and halting station.
2. Whether the bus stand at Almaspur was officially notified by the Regional Transport Authority.
3. Whether the District Magistrate consulted local authorities before passing the order.","1. The court clarified that halting places and bus stands are distinct and governed by different provisions. Section 117 of the Motor Vehicle Act, 1988, empowers the District Magistrate to change halting places/parking places, while Section 68(2)(r) allows the Regional Transport Authority to fix and notify bus stands.
2. The court found that the place at Almaspur was not officially notified as a bus stand by the Regional Transport Authority and was only allowed to be used temporarily as per the District Magistrate's direction.
3. The court observed that Rule 195(1) of the Motor Vehicle Rules, 1998, requires the District Magistrates to consult with the local authority before taking action under Section 117. The respondents did not deny the specific averment made by the petitioners regarding non-consultation.","1. The District Magistrate did not have the jurisdiction to shift a duly notified bus stand. Only the Regional Transport Authority has the power to fix and notify a bus stand.
2. The bus stand at Almaspur was a private bus station running under the order of the Regional Transport Authority since 1999.
3. The order passed by the District Magistrate violated the mandatory requirement of consulting local authorities before taking action under Section 117 of the Motor Vehicle Act, 1988.","1. The District Magistrate had the jurisdiction to shift the halting station/parking place under Section 117 of the Motor Vehicle Act, 1988, read with Rule 195(1) of the Motor Vehicle Rules, 1998.
2. The place at Almaspur was not officially notified as a bus stand by the Regional Transport Authority and was allowed to be used temporarily as per the District Magistrate's direction.
3. The respondents denied the specific averment made by the petitioners regarding the non-consultation with local authorities.",The court quashed the District Magistrate's order and remitted the matter to him for a fresh decision after consulting the local authorities. The court also highlighted that the competent Transport Authority could take an appropriate decision in accordance with the law and rules.
13,"Sanjit Kumar Sardar And Others vs State Of West Bengal And Others on 24 August, 1995.txt","The case involves four writ petitions challenging the rejection of applications for temporary stage carriage permits in route No. 12/C/1/2 by the Regional Transport Authority. The petitioners had moved the Calcutta High Court under Article 226 of the Constitution, and the court directed the Regional Transport Authority to reconsider the applications in accordance with the law.

","
Whether the Regional Transport Authority's rejection of the petitioner's applications for temporary permits was valid.
Whether temporary permits should be granted liberally based on the liberal policy introduced by the Motor Vehicles Act, 1988.
The necessity of indicating the purpose for a temporary permit in the application.
Whether the Regional Transport Authority's discretion to grant temporary permits must be exercised in accordance with the Act and not arbitrarily.
","The court held that the rejection of the petitioner's applications for temporary permits was justified because they had not indicated the purpose, as required by Section 87 of the Motor Vehicles Act and Rule 123(1)(d) of the West Bengal Motor Vehicles Rules. The court rejected the petitioner's interpretation of the expression ""any permit"" in Section 80, clarifying that it pertains to permanent permits, while Section 87 specifically deals with temporary permits.

The court emphasized that temporary permits are for temporary needs and periods and must have their purpose specified in the application. It stressed that granting temporary permits without adhering to the statutory requirements could lead to abuse of the system.

The court acknowledged that granting temporary permits to others without indicating the purpose might be arbitrary and create apprehensions of discrimination. However, the court clarified that those permits were not under challenge in the present writ petitions.

","The court dismissed all the writ applications and upheld the Regional Transport Authority's rejection of the petitioner's applications for temporary permits. The court affirmed that the Regional Transport Authority must exercise its discretion to grant temporary permits in accordance with the Motor Vehicles Act and Rules. The petitioners were allowed to reapply with proper applications indicating the purpose for the temporary permits, which would be reconsidered by the Regional Transport Authority in line with the court's judgment.
","The petitioners argued that the rejection of their applications for temporary permits was discriminatory since permits were granted to others without indicating the purpose. They contended that the liberal policy introduced by the Motor Vehicles Act, 1988, should make the grant of permits the rule and refusal an exception. They suggested that the expression ""any permit"" in Section 80 should encompass temporary permits and lead to their liberal grant.

","The respondent contended that temporary permits could not be granted mechanically and must fulfill the conditions outlined in Section 87 of the Motor Vehicles Act, 1988. They highlighted that Rule 123(1)(d) of the West Bengal Motor Vehicles Rules requires the purpose for a temporary permit to be indicated in the application, which the petitioners had failed to do.

"
14,"Shrinidhi vs The Branch Manager Icici Lambard on 4 December, 2020.txt","On 19th March 2012, the school bus (registration No. KA-03-9276) carrying students from various villages to school met with an accident. The driver drove the bus rashly and negligently, causing it to topple, resulting in injuries to the students. The claimants filed separate petitions seeking compensation for their medical expenses under the Motor Vehicles Act, 1988.

","1. Whether the driver and owner of the school bus are liable to pay compensation to the injured students.
2. Whether the insurer is liable to pay compensation despite the absence of a fitness certificate for the offending vehicle.

","The court held that the accident occurred due to the negligence of the bus driver, and the students suffered injuries. Therefore, they were entitled to compensation. Regarding the issue of liability, the court referred to Section 149 of the Motor Vehicles Act, which imposes a duty on the insurer to satisfy judgments and awards against persons insured for third-party risks. The court noted that while the vehicle did not possess a fitness certificate, the insurer had chosen to issue a policy of insurance without insisting on it. Thus, the insurer had insured the vehicle at its own risk and could not escape liability for compensation.

","The court allowed the appeals filed by the driver and owner of the school bus in part. It set aside the Tribunal's judgment insofar as it imposed liability on the driver and owner and declared that the insurer was liable to pay the compensation along with interest as awarded by the Tribunal. The insurer was directed to deposit the compensation and interest, and the amount would be refunded to the owner after proper verification.
","The driver and owner of the school bus contested the liability imposed on them. They claimed that another vehicle loaded with sugarcane approached them from the opposite direction, and in an attempt to avoid a collision, the driver swerved, leading to the accident. They argued that the injuries suffered by the students were simple and that they had attended school after receiving first aid.

","The insurer argued that the offending vehicle was carrying more passengers than its permitted seating capacity, and it did not possess a valid fitness certificate at the time of the accident. As a result, the insurer contended that they should not be held liable to pay compensation.

"
15,"Smt. Monorama Devi And Ors. vs Oriental Insurance Co. Ltd. And ... on 27 March, 2002.txt","The victim, Mono Kumar, was driving a truck owned by the respondent No. 2 and insured by respondent No. 1. While driving on the Grand Trunk Road, the victim stopped the truck near a level crossing. An unknown speeding truck hit the parked truck, causing damage and injuring the victim. The victim got off the truck, and as he did, the unknown truck ran over him, resulting in his death. The appellants, the victim's widow, mother, and father, filed an application for compensation under Section 163A, claiming that the victim's death arose out of the use of the truck.

","The main issue before the court was whether the accident in which the victim died arose out of the use of the appellant's truck, making them eligible for compensation under Section 163A of the Motor Vehicles Act, 1988.

","The court referred to previous Supreme Court decisions and emphasized that Section 163A of the Motor Vehicles Act, 1988, provides for no-fault liability, and the expression used is ""accident arising out of the use of the motor vehicle."" The court noted that the expression ""arising out of the use of the vehicle"" should be given a liberal and wide interpretation in favor of accident victims.

The court relied on previous decisions that held that the word ""use"" in the context of motor vehicles should be construed in a wider sense, including the period when the vehicle is stationary and parked on the road. It was held that the appellants' truck was still in use when it stopped near the level crossing and was hit by the unknown truck.

The court further reasoned that the accident had a connection with the use of the appellants' truck, as the victim had to get off the truck due to the collision, and it was necessary for the driver to inspect the damage before restarting the truck.

","The court allowed the appeal and held that the victim's death arose out of the use of the appellants' truck. The appellants were entitled to compensation under Section 163A of the Motor Vehicles Act, 1988, on a structured formula basis. The court directed the respondents to deposit the awarded compensation amount with interest in the Tribunal.
","The appellants argued that the victim's death was due to an accident arising out of the use of the truck. They contended that even though the victim was hit by the unknown truck after getting off their truck, the connection between the accident and the use of their truck was established. They relied on previous Supreme Court decisions and emphasized that Section 163A is a social welfare legislation and should be construed in favor of accident victims.

","The respondents contested the claim and denied their liability to pay compensation. They argued that the victim's death was not caused by an accident arising out of the use of their truck but was due to the impact of the unknown truck. They claimed that their truck was not directly involved in the accident, and thus, the appellants were not entitled to compensation under Section 163A.

"
16,"Tek Chand Behal And Anr. vs Khem Chand And Ors. on 31 October, 2007.txt","The case involves various scenarios where accidents happened before the enactment of the 1988 Act, but proceedings, including claim petitions and appeals, were initiated under either the 1939 Act or the 1988 Act.

","1. Whether Section 173 of the 1988 Act, which mandates a deposit for appeals, should be applicable to cases where accidents and awards occurred under the 1939 Act but an appeal was filed under the 1988 Act.
2. The proper interpretation of the right of appeal under the 1988 Act and its relation to the law prevailing at the time of the accident.

","The court examines various judgments and legal principles regarding the right of appeal, the applicability of Section 173, and the substantive nature of the right to appeal. It notes that the right to appeal becomes vested at the commencement of the proceedings and cannot be taken away except by express enactment or necessary implication.

The court considers the conflicting views on whether Section 173 should apply to cases under the 1939 Act and concludes that the provision should be applied in cases where claim petitions are preferred under the 1988 Act and where the appeal is filed under the new Act for accidents and awards that occurred before the 1988 Act.

","The court disapproves the view that Section 173 should not apply to appeals filed under the 1988 Act in cases involving accidents and awards under the 1939 Act. The court holds that the requirements of Section 173 should be complied with in such cases, and the appeal must adhere to the provisions of the 1988 Act.

The matter is remitted back to the learned Single Judge for further proceedings and disposal of the appeal on its merits.
","The petitioner contends that the requirements of Section 173 should not apply to cases where the accident and award occurred under the 1939 Act but an appeal was filed under the 1988 Act. The petitioner argues that the right to appeal is a substantive right, and it becomes vested when the proceedings are initiated. Thus, it should be governed by the law prevailing at the time of the accident, not by any subsequent amendments.

","The respondent argues that Section 173 of the 1988 Act should apply to all appeals filed under the new Act, regardless of the date of the accident or award. They assert that the deposit requirement is intended to provide immediate relief to victims and should not be limited by the date of the accident or award.

"
17,"The New India Assurance Co. vs Selvaraj on 17 February, 2010.txt","The petitioner, a power loom worker, was hit by a car driven by the first respondent's driver. The accident caused severe injuries, resulting in permanent disability. The petitioner filed a claim for compensation from both respondents under the Motor Vehicles Act. The first respondent did not enter appearance, and the second respondent (insurance company) contested the claim, denying the petitioner's averments and alleging the accident was caused by the petitioner's negligence.

","1. Who is responsible for the accident, and who is liable to pay compensation?
2. What is the quantum of compensation to be paid?

","The Tribunal examined the evidence and found that the accident was caused by the car's driver. The petitioner's medical records and witnesses supported the claim of permanent disability. The Tribunal applied the multiplier method to assess the compensation based on the petitioner's age, occupation, and the extent of disability. The Tribunal awarded compensation of Rs. 1,76,505/- with interest.

In the appeal, the insurance company challenged the multiplier method's application and the lack of sufficient evidence for the nature of injuries and treatment. The Court found the multiplier method used by the Tribunal erroneous and modified the compensation amount accordingly.

","The Court partly allowed the appeal, modifying the compensation awarded by the Tribunal. The Court awarded Rs. 87,505/- as compensation to the petitioner, along with 9% interest from the date of filing the claim petition till the date of payment. The Court imposed conditions for depositing the awarded amount and allowed the petitioner to withdraw the compensation subject to necessary formalities. The case was closed without any order as to costs.
","The petitioner argued that the accident was caused by the negligence of the car's driver. The petitioner presented medical evidence, including a Wound Certificate and Disability Certificate, to support the claim of permanent disability and loss of earning capacity. The petitioner sought compensation of Rs. 5,00,000/-.

","The second respondent (insurance company) denied liability, contending that the accident occurred due to the petitioner's negligence. The insurance company questioned the evidence provided by the petitioner, including medical records, and argued that the claim for compensation was excessive. They also raised objections to the assessment of permanent disability and the application of the multiplier method.

"
18,"The New India Assurance Company ... vs C. Padma And Anr. on 5 December, 1996.txt","The 1st respondent, C. Padma, filed a claim petition seeking compensation for injuries sustained in an accident that occurred on 18.2.1989. The petition was filed on 2.11.1995, nearly six years and ten months after the accident. The insurance company (revision petitioner) raised an objection to the claim being barred by limitation.

","1. Whether the claim petition filed after almost seven years from the date of the accident is barred by limitation.
2. Whether the amended Motor Vehicles Act (Act 59 of 1988) with retrospective effect, which prescribed no limitation, allows the claimant to file the application without considering the period of delay.

","The Tribunal and the court relied on the decision in Wilfred v. N.A. Maniyar, which held that there was no time limit for filing a claim petition under the new Motor Vehicles Act (Act 59 of 1988). The court also referred to its earlier decision in Dhannalal v. D.P. Vijayvargiva, which followed the principles laid down in Vinod Gurudas Raikar v. National Insurance Co. Ltd., 1991 A.C.J., 1060, and allowed compensation applications despite delay, as the amended Act did not specify any limitation and provided a welfare orientation for the benefit of accident victims.

","The court dismissed the revision petition, affirming the order of the Tribunal that allowed the claim petition to be numbered without considering the period of delay. The court relied on the rulings in Wilfred v. N.A. Maniyar and Dhannalal v. D.P. Vijayvargiva, which held that the amended Motor Vehicles Act with retrospective effect and no specified limitation allowed compensation applications to be filed without considering the period of delay.
","The insurance company argued that the claim petition was filed nearly seven years after the accident, making it time-barred under the provisions of the Motor Vehicles Act in force at the time of the accident. The insurance company contended that even though the amended Act (Act 59 of 1988) prescribed no limitation, the General Clauses Act and the Limitation Act provided a period of three years in the absence of any specified limitation under any other Act. Therefore, the claimant cannot be given the benefit of filing the claim beyond the period of three years.

","The respondent, represented by their counsel, relied on the ruling in Wilfred v. N.A. Maniyar, 1995 A.C.J. 673, and argued that there is no limitation under the new Motor Vehicles Act for filing a claim petition. They further submitted that the provisions of the Motor Vehicles Act were liberalized to award compensation to accident victims, and the absence of a specified limitation under the amended Act should be taken into account.

"
19,"Transport Corporation Of India vs The Transport Commissioner And ... on 21 August, 2002.txt","Various petitioners purchased vehicles from outside Andhra Pradesh and attempted to register them within the State. However, the Registering Authorities insisted on a Tax Clearance Certificate from the Commercial Tax Department for registration. The petitioners contended that this insistence was illegal and without jurisdiction.

","1. Whether the Registering Authorities can demand a Tax Clearance Certificate from the Commercial Tax Department for vehicle registration.
2. Whether Section 23 of the A.P. Tax on Entry of Motor Vehicles into Local Areas Act, 1996, is repugnant to Section 45 of the Motor Vehicles Act, 1988 (Central Act).

","The court finds that the Motor Vehicles Act, 1988, and the A.P. Tax on Entry of Motor Vehicles into Local Areas Act, 1996, are separate enactments by different authorities under different entries and lists. As they are independent enactments, the doctrine of repugnancy does not apply. The court cites a previous Supreme Court decision that upholds a similar Act in Maharashtra, which compensates for revenue losses due to vehicles purchased outside the State.

The court concludes that the insistence on producing a tax clearance certificate for vehicle registration is proper and dismisses the writ petitions.

","The Andhra High Court rules in favor of the Respondent (State) and upholds the validity of the Tax Clearance Certificate requirement for vehicle registration. It also confirms the validity of Section 23 of the A.P. Tax on Entry of Motor Vehicles into Local Areas Act, 1996, as it is intended to prevent tax evasion and compensate for revenue losses. The court dismisses the writ petitions, allowing the Commercial Tax Department to recover entry tax from the petitioners in accordance with the law.
","The petitioners argue that the Motor Vehicles Act, 1988, provides conditions for vehicle registration under Section 45, and failure to produce a tax clearance certificate is not one of them. Therefore, insisting on the certificate for registration is improper and without jurisdiction. Additionally, some petitioners claim that Section 23 of the A.P. Tax on Entry of Motor Vehicles into Local Areas Act is repugnant to Section 45 of the Motor Vehicles Act.

","The State contends that the A.P. Tax on Entry of Motor Vehicles into Local Areas Act, 1996, was enacted to prevent tax evasion and plug revenue leakage. As it is a State legislation under a separate entry and list, it is independent and not repugnant to the Motor Vehicles Act. The State justifies the collection of entry tax to compensate for revenue losses on vehicles purchased outside the State.

"
20,"United India Insurance Co. Ltd. vs Smt. Mehtab Bai And Ors. on 3 March, 1999.txt","The claimants (respondents) filed a petition under Section 163-A of the Motor Vehicles Act seeking compensation for the death of Jagdish, who was a conductor on a bus. The claimants alleged that Jagdish died due to the bus driver's rash and negligent driving, causing him to fall on the road and suffer fatal injuries. The United India Insurance Co. Ltd., as well as another party, contested the claim petition.

","1. Whether the provisions of Section 163-A of the Motor Vehicles Act, 1988, are applicable to the claim petition filed by the respondents, considering that the accident occurred before the amendment came into force.
2. Whether the Motor Accident Claims Tribunal was justified in treating the claim petition as an application under Section 163-A.

","The court considers whether Section 163-A of the Motor Vehicles Act, 1988, creates a new right for claimants and imposes new liabilities on non-petitioners. If so, the court applies the general rule that unless the statute explicitly makes it retrospective, it shall have prospective application.

The court analyzes previous decisions on similar provisions and distinguishes between statutes dealing with substantive rights and those dealing with procedural matters. It emphasizes that substantive rights statutes are generally prospective unless explicitly stated otherwise.

The court concludes that Section 163-A creates new rights for claimants and new liabilities for non-petitioners, similar to Section 140 of the Motor Vehicles Act. As there is no express provision for retrospective application, the court holds that Section 163-A is prospective and does not apply to accidents that occurred before 14th November 1994.

The court also criticizes the Motor Accident Claims Tribunal for erroneously treating the claim petition as an application under Section 163-A when it should have been considered under Section 166 of the Motor Vehicles Act.

","The court partly allows the appeal, quashing and setting aside the judgment of the Motor Accident Claims Tribunal. The case is remanded to the Tribunal, directing it to treat the claim petition as one under Section 166 of the Motor Vehicles Act. The court emphasizes that the amendment adding Section 163-A is not applicable to accidents that occurred before 14th November 1994. The parties are directed to bear their costs of appeal, and the deposited amount shall not be disbursed to the respondent-claimants until the judgment by the Tribunal.
","The appellant (United India Insurance Co. Ltd.) argues that Section 163-A of the Motor Vehicles Act, 1988, does not have retrospective application. They contend that the amendment creating new rights and liabilities should be prospective unless expressly made retrospective.

","The respondents (claimants) support the judgment passed by the Motor Accident Claims Tribunal. They cite the deletion of Sub-section (3) of Section 166 in the Motor Vehicles Act, which was held to be applicable to pending cases, as an example of retrospective application. They argue that Section 163-A should also be treated similarly.

"
21,"United India Insurance Company ... vs A. Govindan And Another on 21 January, 2000.txt","On 8th December 1989, while the respondents' claimants were traveling in a goods vehicle (lorry DTT 2126) to attend a marriage in a neighboring village, the lorry capsized, resulting in injuries to the claimants. The petitioner, United India Insurance Company Limited, contended that the claimants' use of the goods vehicle for carrying passengers to attend a marriage was a violation of the provisions of the Motor Vehicles Act and the terms of the insurance policy. Hence, the petitioner argued that it should not be liable to indemnify the owner of the lorry and pay compensation to the victims.

","The main issue before the court was whether the Insurance Company's liability to pay compensation to the claimants can be absolved on the grounds that the lorry, intended for carrying goods, was used to transport passengers in violation of the Motor Vehicles Act and the insurance policy.

","The court referred to various decisions in similar cases and the provisions of the Motor Vehicles Act, 1988. It observed that the purpose of the Act is to compensate a person who has suffered injuries and to provide means of subsistence to the heirs of a deceased person. The court emphasized that the provisions of the Act should be liberally construed to achieve these objectives.

The court cited previous judgments, including those of the Supreme Court, which held that insurance policies covering third-party risks are not required to exclude gratuitous passengers. The court also considered cases where passengers were carried in goods vehicles due to contractual employment with the owner of the vehicle or the hirer. The court held that breach of conditions regarding the number of passengers in goods vehicles beyond the prescribed limit, even if it occurred, should not be considered a fundamental breach to deny indemnification to the insured.

Based on the evidence presented, the court found that the accident was not caused by the passengers traveling in the lorry but was due to the negligence of the driver. The court concluded that the Insurance Company could not absolve itself of its liability to pay compensation to the claimants.

","The court upheld the award passed by the Motor Accident Claims Tribunal and dismissed all the appeals filed by United India Insurance Company Limited. The court held that the Insurance Company was liable to pay compensation to the claimants based on the facts presented, and it should not be allowed to escape its liability on the grounds of the number of passengers exceeding the prescribed limit.
","The petitioner, United India Insurance Company Limited, contended that it should not be liable to pay compensation to the claimants as the lorry was used to transport passengers (claimants) to attend a marriage, which was in violation of the provisions of the Motor Vehicles Act and the terms of the insurance policy.

","The respondents (claimants) argued that they had obtained specific permission from the owner of the lorry to travel in the vehicle along with their goods for the purpose of attending a marriage in a neighboring village. They contended that the accident occurred due to the negligence of the lorry driver, and the Insurance Company should be liable to pay compensation as awarded by the Tribunal.

"
22,"Western_Coalfields_Ltd._vs_State_Of_Maharashtra_And_Anr._on_16_September,_2003[1].txt","On September 20, 2002, an Excavator owned by Western Coalfields Ltd. was seized by the Regional Transport Officer, Nagpur, for not having valid documents. The petitioner claims that their heavy earth moving machinery is specialized for mining activities and cannot be used on ordinary roads.

","The main issue is whether the heavy earth moving machinery owned by the petitioner qualifies as a ""motor vehicle"" under the Motor Vehicles Act, 1988, and is liable for registration and tax payment under the Bombay Motor Vehicles Tax Act, 1988.

","The court examines the definitions of ""motor vehicle"" and ""construction equipment vehicle"" provided in the relevant laws, i.e., the Motor Vehicles Act, 1988, and the Central Motor Vehicles Rules, 1989. They note that the Central Rules, 1989, clearly include heavy earth moving machinery within the category of ""construction equipment vehicle."" Consequently, the court concludes that the petitioner's machinery falls under the definition of a ""motor vehicle"" and is, therefore, subject to registration and taxes under the Bombay Motor Vehicles Tax Act, 1988.

","The court dismisses the writ petition, upholds the seizure of the Excavator, and rules in favor of the respondent. They direct the petitioner to register the Excavator and pay the due tax within one month from the judgment date.





","The petitioner contends that their heavy earth moving machinery is not a ""motor vehicle"" as defined in the Motor Vehicles Act, 1988, and should be exempt from registration and taxes. They argue that the machinery is designed specifically for mining conditions and cannot be used on ordinary roads.

","The respondent argues that the heavy earth moving machinery falls under the definition of a ""construction equipment vehicle"" as per the Central Motor Vehicles Rules, 1989, and is, therefore, considered a ""motor vehicle"" under the Motor Vehicles Act, 1988. They justify the seizure of the Excavator based on its failure to produce valid documents.

"
23,"Union Of India (Uoi) vs Hareshbhai Tulsibhai Kanjiya on 17 August, 2004[1].txt","
The petitioner has challenged the order of the Motor Accident Claims Tribunal regarding interim compensation for an accident involving a motor vehicle and a train.
The petitioner claims that the Motor Accident Claims Tribunal lacks jurisdiction in cases where accidents involve trains carrying passengers and that the Railway Claims Tribunal should have jurisdiction instead.
The respondent (Insurance Company) argues that the Motor Accident Claims Tribunal does have jurisdiction in such cases and can decide them even if the railway authority is solely at fault.
","
Whether the Motor Accident Claims Tribunal has jurisdiction to entertain applications for compensation in accidents involving motor vehicles and trains carrying passengers.
Whether the Railway Claims Tribunal Act, 1987, prevails over the Motor Vehicles Act, 1988, in such cases.
","The court examines relevant provisions of the Motor Vehicles Act, 1988 (Section 140 and Section 2(28)) and the Railway Claims Tribunal Act, 1987 (Section 13) to determine jurisdiction. The court concludes that if an accident arises out of the use of a motor vehicle, the Motor Accident Claims Tribunal has jurisdiction to decide the case, regardless of whether a train or railway is involved. The court cites a previous judgment to support its reasoning, stating that once the jurisdiction of the Motor Accident Claims Tribunal is invoked and exercised, it cannot be ousted later based on findings of negligence of other parties.

","The court dismisses the petition, upholding the jurisdiction of the Motor Accident Claims Tribunal in cases involving accidents between motor vehicles and trains carrying passengers. The court finds that the impugned order passed by the Motor Accident Claims Tribunal is legally correct and in accordance with the law and facts of the case.
","The petitioner argues that the Motor Accident Claims Tribunal does not have jurisdiction in accidents involving motor vehicles and trains carrying passengers. They claim that the Railway Claims Tribunal Act, 1987, prevails in such cases, and the application should have been filed before the Railway Claims Tribunal.

","The respondent (Insurance Company) argues that the Motor Accident Claims Tribunal does have jurisdiction to decide cases involving accidents between motor vehicles and trains carrying passengers. They contend that even if the railway authority is solely negligent, the Motor Accident Claims Tribunal can still decide the case.

"
24,"Adapa Venkateswara Rao And Ors. vs Y. Venkataramana Reddy And Ors. on 20 November, 1992.txt","The original writ petitioner held a town service permit covering a 7 Km route from Guntur to Nallapadu. They sought a variation to extend the route by an additional 5 Kms from Nallapadu to Perecherla, making the total distance 12 Kms. However, the authority denied the variation, citing a government scheme that prohibited variations exceeding 5 Kms on the notified route.

","1. Whether the variation sought by the original writ petitioner was permissible under the government scheme.
2. Whether the rejection of the variation request violates the petitioner's constitutional rights.

","The court held that the variation sought by the petitioner would result in a route overlapping 12 Kms on the notified route, violating the government scheme's provisions. The court rejected the petitioner's argument that the existing town service should be saved, stating that it only applied to the existing town services operating on the notified route. The court found that the variation request exceeded 5 Kms from Nallapadu to Perecherla, making it ineligible under the government scheme.

","The court upheld the rejection of the variation request, finding it in violation of the government scheme. The court dismissed the petitioner's arguments and concluded that the decision of the authority was valid.

","The petitioner argued that the variation did not violate the government scheme as the route extension did not exceed 5 Kms from Nallapadu to Perecherla. They claimed that the existing town service on the notified route should be saved, allowing the requested extension.

","The respondent contended that the variation would be treated as an application for a new permit, and the government scheme prohibited variations exceeding 5 Kms on the notified route. They argued that the variation could not be granted as it would overlap with the existing mofussil service route.

"
